source,area,iso,adm_id,id,sex,age2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DHS,Western Asia,IRQ,Anbar,1,2,1,19787,21752.0652,23717.45838,24301.60487,24980.44755,25857.09287,25418.77021,18295.54813,18375.94933,18431.68287,18419.73256,21619.8614,22919.57719,22515.96278,21999.7169,21366.66045,20663.86303,19862.38842,19002.4503,18129.40176,17268.96548
DHS,Western Asia,IRQ,Anbar,1,2,10,77192,77387.08928,77581.95168,80721.98094,83974.55137,87394.96361,85684.75749,98434.46554,97703.63532,96860.50975,95774.86326,87661.3038,85773.44927,83891.76616,81951.17966,80057.26114,78234.77903,76399.49988,74469.63413,72352.45847,69998.83653
DHS,Western Asia,IRQ,Anbar,1,2,15,66802,67180.12946,67558.36248,70429.72177,73350.20046,76244.74171,74797.47109,87452.23253,86007.63198,84785.94731,83848.1627,78085.99779,76571.25104,75905.36441,74876.02786,73370.89566,71453.44537,69179.99293,66692.9762,64175.74914,61711.56445
DHS,Western Asia,IRQ,Anbar,1,2,20,52043,53297.29766,54552.04963,56652.57265,58793.00868,61009.8098,59901.40924,67369.36609,66257.57734,65194.40329,64199.83297,60358.54182,59094.00772,58321.74439,57456.16103,56474.26254,55300.80774,54045.0308,52626.7873,50949.08937,48982.49372
DHS,Western Asia,IRQ,Anbar,1,2,25,42486,46074.83822,49663.92968,52115.97584,54489.24089,56726.90956,55608.07523,58410.31604,57129.95878,55892.13007,54793.21619,54872.34882,57155.06609,56578.50481,55865.53534,54935.73697,53686.68036,52247.3288,50655.83219,48967.56863,47205.38302
DHS,Western Asia,IRQ,Anbar,1,2,30,31989,35293.87842,38599.18839,40668.2703,42698.38158,44757.59321,43727.9874,47751.37643,47230.5863,46591.93253,45844.88125,41049.16407,42513.08966,41808.77676,41066.82115,40286.02187,39366.22329,38400.82666,37356.59574,36192.83894,34892.43391
DHS,Western Asia,IRQ,Anbar,1,2,35,23766,25520.67384,27275.46502,30031.90936,32745.98419,35243.82381,33994.904,39524.97592,39299.5076,38982.07584,38681.38873,38166.66011,38082.7901,37841.10906,37449.36065,36864.2553,36040.15113,35060.11739,33965.41313,32810.01041,31619.67036
DHS,Western Asia,IRQ,Anbar,1,2,4,70379,78316.6524,86253.97536,89272.87403,92270.32788,95490.31869,93880.32328,81757.91138,80975.411,80312.19245,79684.08344,81740.83648,84953.34118,83864.19109,82452.76385,80706.09652,78861.32456,76492.66765,73724.42699,70693.79834,67493.97941
DHS,Western Asia,IRQ,Anbar,1,2,40,16118,17101.34423,18084.32705,19399.21936,21002.75012,22856.34765,21929.54889,31820.78004,33118.18755,34172.53374,34871.5084,31899.36783,31445.59103,31345.5486,31127.43315,30833.50704,30384.43625,29846.13783,29194.85278,28399.07093,27450.98414
DHS,Western Asia,IRQ,Anbar,1,2,45,18157,17934.42501,17712.06955,17528.28574,17446.91185,17733.82175,17590.3668,23537.20005,23816.99162,24362.53198,25113.82658,23571.0976,23241.21069,24247.36002,25027.3144,25463.14217,25530.12334,25302.25883,24853.60663,24285.28149,23648.57768
